strain,angular_velocity_head_tip_w_backward_IQR_medianDiff_all,angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_angular_velocity_head_tip_w_backward_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_90th_medianDiff_all,d_angular_velocity_head_tip_w_backward_IQR_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_relative_to_head_base_angular_velocity_head_tip__medianDiff_all,d_relative_to_head_base_radial_velocity_head_tip_w_medianDiff_all,d_relative_to_neck_radial_velocity_head_tip_w_back_medianDiff_all,relative_to_body_radial_velocity_hips_w_backward_5_medianDiff_all,relative_to_body_radial_velocity_neck_w_forward_50_medianDiff_all,relative_to_head_base_angular_velocity_head_tip_w__medianDiff_all,relative_to_head_base_radial_velocity_head_tip_w_b_medianDiff_all,relative_to_neck_radial_velocity_head_tip_w_backwa_medianDiff_all
JU1440,-0.16725,-0.016987,-0.083949,0.99561,-0.75625,-1.1604,-0.13344,-0.57953,-0.80983,-6.4285,3.6145,0.30408,0.10627,-0.076595,-1.2716,0.64019
JU1491,-0.037766,-0.0068088,-0.019056,0.66731,-0.73127,-0.88565,-0.098913,-0.44071,-0.50499,-6.1663,0.52615,0.64698,0.37865,-0.043105,-1.4775,0.50596
JU1530,-0.028967,-0.00046891,-0.016243,0.48453,-0.58494,-1.1496,-0.10202,-0.57449,-0.78996,-8.7787,1.5833,0.66886,0.48412,-0.12885,-1.6459,0.38542
JU1543,-0.22553,-0.01327,-0.11559,-0.18612,0.11721,-0.26029,-0.047511,-0.13028,-0.092257,0.3054,5.4227,0.46894,0.099247,-0.010964,0.10321,0.69921
JU1568,0.10087,-0.00094116,0.051084,-0.48267,0.47635,0.30922,0.029882,0.15667,-0.054184,-0.3627,-1.8112,0.52809,0.15362,0.022024,-0.095234,0.12028
JU1580,-0.3464,-0.036135,-0.16738,0.71373,-0.58534,-1.1316,-0.12524,-0.61044,-0.37913,-5.0083,7.1556,0.1585,0.16507,-0.096854,-0.75669,0.41853
JU1581,-0.58834,-0.065398,-0.29644,1.7157,-1.8223,-2.6207,-0.26891,-1.3096,-0.89577,-8.0956,9.5514,0.43674,0.38261,-0.2497,-1.384,1.2858
JU1586,-0.26929,-0.026062,-0.13638,0.78252,-1.0802,-1.2433,-0.11161,-0.61663,-0.79661,-4.3026,6.9655,0.77237,0.16336,-0.088033,-1.0767,0.69522
JU1652,-0.40524,-0.027925,-0.2031,0.64964,-0.85858,-1.4173,-0.14164,-0.71841,-0.51171,-6.8167,6.8209,0.12657,0.4456,-0.1395,-1.5823,1.1902
JU1793,-0.1608,-0.002816,-0.07863,1.3246,-1.2512,-1.6353,-0.13053,-0.81834,-0.40006,-9.3781,2.1965,0.53191,-0.10932,-0.042486,-1.8247,1.019
