strain,d_speed_head_base_w_backward_10th_medianDiff_all,d_speed_head_base_w_backward_50th_medianDiff_all,d_speed_head_base_w_backward_90th_medianDiff_all,d_speed_head_base_w_backward_IQR_medianDiff_all,d_speed_head_tip_w_backward_10th_medianDiff_all,d_speed_head_tip_w_backward_90th_medianDiff_all,d_speed_head_tip_w_backward_IQR_medianDiff_all,d_speed_hips_w_backward_50th_medianDiff_all,d_speed_hips_w_backward_IQR_medianDiff_all,d_speed_midbody_w_backward_10th_medianDiff_all,d_speed_midbody_w_backward_50th_medianDiff_all,d_speed_midbody_w_backward_IQR_medianDiff_all,d_speed_neck_w_backward_10th_medianDiff_all,d_speed_neck_w_backward_50th_medianDiff_all,d_speed_neck_w_backward_90th_medianDiff_all,d_speed_neck_w_backward_IQR_medianDiff_all,d_speed_tail_base_w_backward_50th_medianDiff_all,d_speed_tail_tip_w_backward_50th_medianDiff_all,d_speed_w_backward_50th_medianDiff_all,d_speed_w_backward_IQR_medianDiff_all,speed_head_base_norm_10th_medianDiff_all,speed_head_tip_10th_medianDiff_all,speed_head_tip_norm_10th_medianDiff_all,speed_hips_norm_10th_medianDiff_all,speed_midbody_norm_10th_medianDiff_all,speed_neck_norm_10th_medianDiff_all,speed_norm_10th_medianDiff_all,speed_tail_base_10th_medianDiff_all,speed_tail_base_norm_10th_medianDiff_all,speed_tail_tip_10th_medianDiff_all,speed_tail_tip_norm_10th_medianDiff_all
MY2530,56.0266,-16.298,-34.8217,-57.3325,56.2536,-157.8994,-101.2224,-14.9236,-27.969,43.5715,-14.6998,-33.5469,49.9076,-15.3916,-36.047,-49.9134,-15.104,-12.7111,-13.664,-34.0576,-0.024349,-37.6054,-0.047653,-0.025514,-0.022992,-0.022929,-0.021632,-22.3047,-0.02818,-25.3731,-0.032144
MY2535,81.0362,-15.1828,-78.5271,-67.7257,108.3302,-213.2568,-107.2195,-15.4922,-44.9644,65.0524,-14.3484,-50.2661,69.6385,-14.7104,-75.2408,-62.009,-16.1589,-11.7638,-12.173,-54.2912,-0.021408,-44.0345,-0.054713,-0.018367,-0.015185,-0.016475,-0.014024,-16.3098,-0.020672,-20.0438,-0.025342
MY2573,-1.5312,-12.1687,-7.1393,-10.0194,-4.1461,-13.4168,-53.7164,-9.3967,11.5675,3.5656,-10.6756,1.21,3.5072,-13.6176,-20.9178,-10.1197,-8.8568,-7.5992,-11.2,0.037262,-0.0077581,-6.0402,-0.0083413,-0.0089395,-0.0067392,-0.0079732,-0.0064965,-9.2561,-0.010163,-10.1994,-0.011901
MY2693,37.6574,-11.5798,-37.8776,-39.2751,41.533,-137.6053,-93.2968,-11.5859,-16.4021,26.1283,-10.6042,-20.9478,35.1654,-11.0595,-38.7746,-34.1445,-11.6554,-11.2547,-9.119,-23.0092,-0.0029001,-4.0181,-0.0035778,-0.0048903,-0.0034243,-0.0031215,-0.0031137,-5.2517,-0.0055154,-7.6573,-0.0082956
MY2741,43.0896,-13.4248,-33.8469,-37.7722,48.0255,-207.9608,-52.2543,-10.6381,-27.5276,25.7528,-12.0852,-26.6644,31.0314,-12.3556,-21.9074,-30.384,-8.7026,-9.5611,-11.2069,-25.0645,-0.027925,-36.2278,-0.039797,-0.028797,-0.026433,-0.026738,-0.024948,-27.589,-0.030342,-30.7242,-0.034005
MY679,-11.1213,-7.7282,14.9079,0.47885,48.9533,-51.6049,-50.6627,-7.3267,35.2598,-26.2903,-6.1564,14.8753,-19.4622,-8.5259,15.9317,4.7356,-7.028,-4.3083,-6.0822,15.5804,-0.026377,-26.5366,-0.03533,-0.028243,-0.023818,-0.025351,-0.021817,-22.964,-0.032052,-26.9061,-0.037445
MY920,64.4061,-16.0485,-53.604,-55.8562,76.1982,-137.9609,-102.8148,-14.0794,-38.3149,66.5818,-12.8851,-38.8048,67.0678,-17.5672,-55.4739,-49.3787,-13.7272,-11.8684,-11.7682,-39.4912,-0.0033029,7.4651,-0.0010218,-0.0031854,-0.002549,-0.0039579,-0.0018737,-0.64045,-0.005805,-5.1425,-0.011976
N2,-5.6291,0.89333,0.060287,3.7033,-5.6328,5.5109,1.0631,0.51745,6.3275,-5.1414,0.76994,1.414,-4.7332,0.93651,3.5619,4.9569,0.4254,0.75016,0.76425,3.9241,-0.0058936,-5.1372,-0.0058416,-0.0077579,-0.0060432,-0.0060729,-0.0057185,-6.7057,-0.0080963,-7.9831,-0.0090329
NIC1,53.7972,-13.3075,-61.8322,-69.0536,69.619,-166.2839,-95.0897,-12.8778,-36.6295,37.2079,-14.3172,-48.4338,45.6555,-14.6517,-47.0099,-55.2278,-11.9032,-12.9459,-13.2097,-47.0748,-0.023892,-30.0357,-0.036404,-0.027023,-0.02458,-0.025047,-0.022963,-24.4272,-0.028832,-25.5564,-0.032126
NIC1107,-33.2781,-0.99678,43.6041,5.8605,-37.3697,15.0683,-10.5782,-4.0501,49.3211,-35.7442,-2.2086,27.4241,-33.9017,-1.1556,55.1577,14.7556,-2.4713,-1.4656,-2.2031,33.6479,-0.01068,-20.1529,-0.021525,-0.012125,-0.010063,-0.0089738,-0.0094922,-12.1599,-0.013359,-14.0506,-0.015388
NIC166,73.061,-10.7879,-66.5451,-100.3777,72.3447,-194.9461,-128.0959,-15.6891,-61.0289,44.5553,-13.6283,-76.9284,65.3086,-13.0574,-58.8748,-91.7705,-15.1845,-12.9688,-12.492,-71.9866,-0.024075,-19.6772,-0.027463,-0.029948,-0.027485,-0.025539,-0.025513,-21.5003,-0.03216,-26.0764,-0.035222
NIC195,64.4656,-17.9585,-56.6577,-79.2946,82.6713,-187.1258,-103.9419,-18.4002,-57.8636,52.191,-18.1725,-54.1985,59.0323,-18.1653,-49.456,-72.0851,-20.9184,-17.5833,-17.0415,-60.9777,-0.067019,-100.7418,-0.12041,-0.061506,-0.058236,-0.062617,-0.054592,-55.9037,-0.065813,-64.4202,-0.076759
NIC199,84.6243,-10.039,-84.2337,-41.6831,72.7602,-178.7933,-102.0655,-7.0522,-13.2195,68.8245,-6.5032,-26.1153,77.9207,-9.5468,-84.06,-36.4149,-4.5742,-0.52947,-8.1197,-28.8921,-0.019509,-24.3584,-0.032981,-0.019397,-0.015957,-0.01793,-0.014496,-15.7173,-0.021867,-20.0359,-0.02643
NIC2,40.9356,-16.9216,-32.7122,-61.1735,56.7637,-165.8986,-104.3331,-13.0279,-39.489,35.382,-12.4253,-43.9204,41.2375,-14.9699,-22.0152,-48.1503,-12.4814,-8.5874,-11.5344,-39.5426,-0.051655,-51.49,-0.061647,-0.054671,-0.052836,-0.054006,-0.049432,-47.5124,-0.057214,-53.3476,-0.064145
NIC207,38.4976,-15.1038,-16.6249,-70.7785,59.4828,-105.3478,-91.2378,-18.5295,-30.3329,15.1313,-18.0921,-36.2867,28.4652,-15.5655,-5.9556,-58.4599,-17.9275,-15.7377,-16.4063,-34.1983,-0.034693,-50.3903,-0.056812,-0.032251,-0.030133,-0.032328,-0.028136,-30.4067,-0.034149,-33.2078,-0.036937
NIC231,136.0633,-19.0621,-127.9439,-111.2399,130.9223,-212.9342,-114.8271,-22.498,-95.7015,115.7595,-20.8443,-95.3717,115.613,-16.5608,-108.4696,-99.9402,-21.8335,-18.7311,-18.8014,-99.9398,-0.016008,-30.6489,-0.030002,-0.021482,-0.016464,-0.015215,-0.015415,-23.313,-0.023846,-26.0041,-0.026369
NIC236,54.7083,-17.7453,-58.4635,-65.7448,55.5977,-158.4588,-99.118,-18.7294,-41.7134,45.9376,-17.1248,-44.0126,51.2915,-16.7766,-53.7845,-54.3987,-16.7618,-16.5508,-17.2535,-44.8038,-0.051853,-51.2803,-0.059728,-0.057703,-0.053308,-0.054379,-0.049246,-51.5933,-0.06076,-55.6593,-0.065457
NIC242,66.6912,-20.0155,-78.2418,-93.6299,71.3299,-109.5266,-102.3504,-21.4862,-39.311,41.1954,-17.1925,-51.7844,57.5504,-17.9835,-65.4153,-79.5688,-19.9095,-18.5013,-15.1682,-57.3232,-0.025686,-20.8111,-0.018113,-0.028141,-0.02478,-0.02579,-0.023709,-30.4322,-0.030757,-36.6542,-0.037809
NIC251,76.3183,-13.5562,-99.463,-77.7798,50.271,-178.2655,-61.8623,-8.3928,-78.3081,71.896,-7.8091,-68.4632,75.3411,-9.1148,-94.3462,-83.8331,-8.4452,-9.1564,-6.7141,-66.5142,-0.028683,-36.6384,-0.042347,-0.029396,-0.027812,-0.028986,-0.025298,-27.1199,-0.031559,-31.651,-0.036822
NIC252,174.8096,-8.6966,-222.3408,-91.9541,190.8303,-348.3598,-98.0488,-6.5669,-111.4993,145.1013,-8.6728,-90.6613,160.7942,-7.4607,-212.4707,-91.1145,-5.4748,-5.9739,-7.115,-85.0085,-0.051067,-33.3017,-0.048622,-0.04963,-0.044411,-0.048869,-0.043978,-38.7781,-0.053408,-41.6088,-0.057942
NIC255,62.5087,-11.609,-72.2682,-68.4528,72.2862,-170.7365,-95.5457,-10.3868,-54.9546,59.0135,-8.1455,-46.1587,53.4182,-11.5328,-56.688,-52.9636,-8.805,-7.4187,-10.1182,-51.1658,-0.057761,-77.086,-0.094618,-0.049705,-0.047447,-0.052929,-0.044227,-44.0456,-0.052746,-48.9553,-0.058637
NIC256,77.7461,-17.6026,-76.8545,-74.082,75.8333,-125.2499,-96.7139,-14.6293,-57.4357,66.0423,-14.8759,-59.9433,70.9803,-17.0664,-76.9312,-67.5745,-14.5798,-13.0614,-15.0869,-60.1921,-0.023396,-19.1834,-0.026876,-0.02515,-0.023475,-0.024756,-0.021781,-20.3739,-0.027022,-23.5188,-0.031359
NIC258,28.4535,-3.2464,-31.1754,-24.0244,21.5726,-61.8059,-19.8604,-2.4636,-18.5434,22.2455,-3.6142,-23.9145,35.9964,-3.7522,-30.8563,-29.8215,-2.6289,-2.4419,-3.7446,-22.1813,-0.0030224,-8.1664,-0.0042302,-0.0058257,-0.0036785,-0.0025021,-0.0033477,-6.7555,-0.0069232,-7.6943,-0.0077863
NIC259,117.8475,-18.8099,-143.9573,-132.1958,147.8147,-230.5175,-97.6555,-18.5136,-113.2187,104.7134,-19.0722,-115.4143,116.6567,-16.8566,-139.4196,-128.78,-17.255,-17.05,-14.7878,-116.4168,-0.057044,-84.8875,-0.089368,-0.047095,-0.04418,-0.049495,-0.041567,-50.3615,-0.050369,-56.9575,-0.056915
NIC260,-58.1809,-7.4246,58.1152,16.0268,-48.0168,42.265,-20.5793,-4.1689,50.6604,-65.5987,-2.167,42.9821,-58.2083,-5.8235,58.3095,27.6632,-3.8802,-1.3905,-3.5302,38.0792,-0.022914,-31.6689,-0.029388,-0.024562,-0.023136,-0.023126,-0.021992,-26.4676,-0.026401,-32.1797,-0.032404
NIC261,117.4825,-17.7913,-131.5409,-121.9135,118.8656,-205.7964,-133.7995,-20.0295,-115.1088,106.9884,-18.4416,-120.7659,110.0532,-17.0554,-113.6698,-120.2892,-21.4621,-20.0645,-17.2124,-115.1458,-0.030897,-32.0752,-0.043122,-0.03159,-0.02885,-0.029799,-0.027069,-28.7447,-0.035489,-35.6945,-0.04407
NIC262,66.4586,-7.0031,-59.1037,-42.978,68.6609,-145.6261,-57.7307,-8.1095,-38.5989,56.0068,-8.7077,-38.924,62.8209,-7.6007,-63.186,-42.7494,-6.8123,-8.0292,-9.4566,-35.149,-0.0074515,-11.6888,-0.013221,-0.0089639,-0.006969,-0.0069755,-0.0063679,-9.2395,-0.010479,-12.1287,-0.013951
NIC265,56.3626,-12.3126,-56.2971,-64.4851,52.8084,-79.267,-82.3021,-13.3889,-22.675,40.148,-13.4661,-33.7484,48.7649,-11.9228,-49.6392,-54.5536,-12.8534,-11.1893,-11.9588,-35.4432,-0.029291,-28.2201,-0.03282,-0.029393,-0.028332,-0.029838,-0.02655,-25.2164,-0.029854,-27.3485,-0.032396
NIC266,74.4898,-9.8524,-80.7931,-89.8313,78.7967,-80.104,-124.2626,-14.5746,-36.3841,46.7964,-11.967,-59.0096,63.9102,-10.0066,-71.3614,-81.2207,-13.9936,-12.9367,-11.3053,-60.6072,0.0020829,1.0349,0.0028571,-0.00072526,0.0012426,0.0022013,0.0017392,-2.4213,-0.001936,-5.4675,-0.0055078
NIC267,104.1353,-23.825,-111.5009,-125.9395,94.1833,-192.2286,-144.7581,-22.394,-99.6337,88.4281,-22.19,-106.2799,98.8619,-22.8778,-109.5382,-129.633,-22.3529,-20.6023,-21.6243,-103.948,-0.024204,-25.843,-0.015734,-0.024368,-0.020871,-0.023566,-0.018461,-32.4707,-0.027597,-34.9496,-0.032661
NIC268,184.5864,-20.4736,-190.1974,-124.3558,191.1544,-417.5808,-131.2026,-18.1863,-136.3861,153.9316,-18.6424,-110.8985,176.5068,-18.6827,-185.6578,-122.651,-16.3701,-12.891,-16.767,-123.5655,-0.14455,-151.1488,-0.18797,-0.12666,-0.1203,-0.13356,-0.11045,-107.6388,-0.13363,-119.6859,-0.14901
NIC269,21.1882,-0.050856,-31.2762,-13.0975,25.2969,-131.347,-17.9026,-4.8908,-13.5706,6.2307,-2.6649,-17.9096,11.4124,-1.4729,-23.1903,-10.0887,-5.7982,-9.2592,-3.9728,-17.0814,-0.032629,-46.3642,-0.064841,-0.01524,-0.016748,-0.023764,-0.016308,-11.6623,-0.016824,-15.2011,-0.02192
NIC271,86.9186,-18.3736,-100.6492,-115.4903,109.1682,-139.415,-168.3564,-16.2389,-44.9893,57.1253,-18.0139,-71.2093,74.3055,-18.9788,-95.6787,-98.3807,-13.5138,-9.1531,-16.8276,-77.161,-0.014964,-26.1254,-0.016731,-0.025045,-0.019935,-0.016952,-0.018331,-23.4399,-0.027263,-27.4118,-0.031596
NIC272,81.7228,-15.0679,-58.4909,-66.7855,70.7997,-66.2826,-114.1269,-16.849,-16.7094,55.1093,-14.1238,-28.5746,66.5155,-14.5623,-46.8156,-48.6378,-17.2163,-15.8042,-13.9037,-30.5979,-0.022653,-24.7092,-0.017046,-0.021218,-0.021253,-0.022529,-0.019856,-23.2873,-0.02179,-24.4585,-0.024962
NIC274,51.6706,-9.9566,-17.2577,-54.7415,56.3503,-128.3322,-76.0534,-12.2137,-49.4962,43.4801,-12.313,-43.5327,46.3494,-9.7468,-23.0139,-47.8559,-12.94,-12.3689,-9.8448,-46.4588,-0.047995,-45.376,-0.058011,-0.049698,-0.048097,-0.048574,-0.044481,-43.8196,-0.053553,-50.0963,-0.060763
NIC275,45.6236,-9.9814,-54.1673,-56.1393,55.6119,-116.7192,-84.0252,-9.4026,-19.1848,40.7109,-8.9375,-39.717,41.9904,-9.1722,-46.439,-48.4868,-9.6713,-7.5552,-8.8115,-37.3143,-0.020225,-25.7199,-0.023483,-0.02499,-0.021104,-0.020231,-0.019474,-25.4298,-0.028509,-28.792,-0.036917
NIC276,71.3795,-9.8201,-56.554,-92.766,90.6117,-95.9691,-135.6247,-13.5403,-28.745,42.8969,-14.4778,-48.4865,58.0498,-12.4379,-46.3271,-75.8042,-15.4892,-13.1734,-15.4445,-47.7698,-0.080758,-86.7374,-0.093624,-0.085028,-0.07976,-0.080989,-0.073836,-79.3775,-0.088913,-83.4175,-0.094317
NIC277,108.3365,-26.4803,-94.0224,-137.407,124.0811,-221.6987,-204.3482,-23.8852,-100.9547,76.3395,-23.4473,-107.4412,95.132,-24.8106,-93.1556,-126.0871,-22.7026,-22.3949,-23.9842,-104.7031,-0.04327,-50.815,-0.064938,-0.043751,-0.038222,-0.03943,-0.035463,-39.3407,-0.049103,-48.7063,-0.058473
NIC3,27.6354,-6.2359,-50.4343,-39.0941,18.8506,-117.8277,-43.7475,-6.0837,-18.1705,20.4966,-5.6547,-32.2105,24.3746,-5.3713,-42.1571,-32.8905,-6.8902,-3.4763,-5.8069,-34.6481,-0.026452,-26.3879,-0.037147,-0.030244,-0.026917,-0.028025,-0.024028,-22.9651,-0.032328,-25.1646,-0.03569
NIC513,113.7057,-14.7212,-114.5917,-119.6632,116.9748,-158.9617,-135.7864,-20.2588,-92.1776,85.6425,-17.8793,-92.3031,103.5809,-14.5997,-110.601,-106.932,-22.0801,-23.4703,-18.6104,-81.3247,-0.06393,-70.972,-0.096797,-0.042722,-0.041145,-0.051725,-0.037708,-33.8875,-0.044842,-38.7991,-0.051237
NIC514,85.3199,-15.5903,-60.0275,-74.0492,82.7138,-188.7299,-81.2993,-16.7239,-48.905,67.6436,-13.614,-49.2559,76.2816,-14.7721,-53.6811,-61.6126,-16.8136,-14.9429,-13.9921,-47.6969,-0.071203,-62.2944,-0.077596,-0.07372,-0.067626,-0.069943,-0.062597,-63.8145,-0.078852,-73.8618,-0.090965
NIC522,60.7413,-6.1867,-51.6128,-63.5156,71.4053,-113.2851,-115.5108,-11.149,-23.0386,40.8311,-10.1383,-35.3954,59.2175,-8.6548,-50.6363,-50.8383,-11.5488,-11.1633,-10.3267,-36.6463,-0.01229,-14.0728,-0.014482,-0.01819,-0.015268,-0.014032,-0.014443,-18.2407,-0.019853,-22.0419,-0.024031
NIC523,40.2726,-4.5056,-46.6436,-46.9788,48.8801,-122.8585,-77.3499,-5.7047,-45.1429,40.3903,-5.0058,-41.1318,36.3521,-4.2021,-44.4342,-44.0284,-5.9188,-4.182,-4.76,-42.5919,-0.037406,-25.9572,-0.037324,-0.041059,-0.037485,-0.038884,-0.034791,-31.7322,-0.043233,-36.5334,-0.049009
PB303,-27.2448,-3.4945,14.2374,21.9533,-20.7868,2.6749,-21.2938,1.0521,37.7701,-20.3022,0.022451,32.7728,-26.8884,-2.817,14.8635,30.2288,1.5254,4.6943,-0.089876,32.5374,-0.040871,-43.3502,-0.045952,-0.049932,-0.043155,-0.042128,-0.039713,-46.4707,-0.055059,-53.2883,-0.06307
PS2025,36.5276,-5.6611,-53.2011,-49.1268,49.7561,-14.8301,-111.5695,-6.6082,23.1057,12.4901,-4.8928,-4.4888,35.5171,-6.5725,-39.4153,-30.9695,-5.736,-5.159,-7.334,-5.6106,-0.029311,-35.8736,-0.047007,-0.014619,-0.014901,-0.020694,-0.013873,-11.4404,-0.015542,-12.9823,-0.017664
PX179,92.8393,-18.4174,-72.2823,-98.7024,93.3168,-249.2729,-132.0125,-22.9723,-50.5871,64.8851,-19.7715,-64.6057,85.002,-18.069,-57.5122,-84.4415,-19.7974,-14.3925,-18.4306,-69.2073,-0.0079658,-19.5787,-0.024642,-0.0083102,-0.0067394,-0.0069679,-0.0058557,-6.6607,-0.0094031,-7.0489,-0.010038
QG2075,81.4878,-7.8063,-87.7882,-73.8141,105.89,-177.1962,-102.0411,-8.8013,-38.9824,53.8665,-7.2642,-43.5059,73.2624,-7.0235,-78.9452,-60.922,-7.8831,-8.3581,-7.2398,-46.4862,-0.044179,-44.3793,-0.060314,-0.038774,-0.03532,-0.040071,-0.032896,-31.2665,-0.041636,-34.4526,-0.045875
QG536,115.521,-14.2755,-126.4451,-120.1973,127.0002,-305.2827,-164.9889,-17.2688,-72.0489,84.5893,-16.8672,-91.4642,96.1902,-15.1107,-111.5361,-103.476,-14.4077,-13.4706,-17.4088,-89.7009,-0.065701,-89.7199,-0.097707,-0.06587,-0.061808,-0.06507,-0.057002,-64.3056,-0.069135,-69.0966,-0.074379
QG556,39.8389,-9.0862,-56.1953,-42.7762,57.0076,-178.7332,-52.7916,-16.5018,-24.4634,30.9343,-12.6326,-35.4115,39.2676,-11.9882,-47.2296,-42.3952,-14.532,-15.5642,-13.6113,-41.6838,0.0040432,3.7185,0.0052296,-0.00032241,0.00090492,0.002839,0.00081532,-0.80392,-0.0010539,-0.69035,-0.00072855
QG557,82.4971,-23.021,-91.7101,-60.887,76.3088,-209.1844,-69.1972,-19.9113,-61.5031,73.3009,-20.3188,-47.9744,78.5383,-22.1483,-71.6853,-61.4988,-14.3157,-12.7477,-19.0727,-61.108,-0.048095,-52.9536,-0.069624,-0.0273,-0.027421,-0.037629,-0.025825,-22.3017,-0.028968,-25.9715,-0.033609
QW947,33.2963,-21.4304,-25.8559,-58.429,34.1756,-115.8111,-87.884,-20.6935,-40.8449,19.8932,-19.6367,-42.0446,25.0837,-19.3204,-22.5301,-51.5794,-20.0362,-17.1225,-18.8431,-40.3853,-0.022908,-21.106,-0.016523,-0.023458,-0.022015,-0.02317,-0.02005,-27.4868,-0.024229,-33.571,-0.030343
QX1212,-15.6445,-0.025589,26.7259,3.3617,-3.4645,-6.8182,-31.7303,-0.16103,28.4209,-31.1011,0.12624,21.6877,-21.9992,-1.106,32.4381,11.51,0.18653,2.3992,0.20285,23.584,-0.012338,-16.2577,-0.01468,-0.016883,-0.014534,-0.013166,-0.014337,-16.7126,-0.017958,-18.869,-0.02025
QX1233,80.3105,-10.8144,-62.5323,-64.6602,69.2032,-125.1907,-69.5225,-9.3038,-56.5201,71.9596,-11.2865,-61.506,72.5299,-10.5565,-70.8761,-67.2468,-6.9849,-6.6412,-11.0696,-61.3398,-0.054514,-70.3942,-0.082043,-0.055288,-0.050707,-0.052525,-0.047145,-50.0041,-0.06001,-56.0474,-0.067114
QX1791,67.0356,-5.1544,-40.1476,-35.4991,85.202,-114.5236,-54.313,-8.318,-21.8326,51.5225,-6.8619,-26.7,50.2577,-5.3292,-39.2693,-25.1237,-7.6611,-8.1188,-4.7658,-25.7822,-0.04276,-37.1379,-0.050574,-0.046025,-0.041822,-0.043817,-0.038442,-37.5544,-0.050176,-42.9965,-0.057696
QX1792,54.355,-15.7904,-42.579,-65.7337,78.1872,-193.9077,-91.9754,-12.8496,-39.5135,39.8951,-13.3873,-43.4129,47.4975,-14.6181,-28.6192,-55.4275,-11.4726,-7.7308,-14.7807,-43.8108,-0.016117,-34.2346,-0.036782,-0.013806,-0.011806,-0.01282,-0.010778,-15.9967,-0.016005,-20.0282,-0.019951
QX1793,77.2504,-8.6301,-43.04,-48.1218,64.8265,-123.0564,-59.9857,-8.3471,-1.3109,49.9375,-10.0486,-37.4996,66.9678,-10.03,-36.8768,-45.5177,-9.7858,-6.6877,-9.9427,-35.2083,0.025033,33.842,0.039544,0.016673,0.019658,0.022054,0.018848,13.0804,0.0157,11.5159,0.014138
QX1794,39.8607,-6.6584,-50.9974,-56.4561,32.2112,-75.7863,-84.4586,-6.6139,-18.7877,25.958,-5.7266,-33.0667,38.1634,-5.3033,-36.6424,-45.6691,-5.461,-5.3965,-5.5605,-36.8642,0.0043001,6.5475,0.0089916,0.0037,0.0041782,0.004246,0.0045712,1.9271,0.0014324,-2.5583,-0.0043865
RC301,40.3223,-9.1515,-53.465,-58.9868,17.7933,-144.8461,-58.3542,-8.1622,-38.9354,37.9377,-7.6992,-44.8796,38.5937,-10.336,-43.6996,-55.0253,-7.7937,-7.1752,-8.0733,-48.975,-0.046921,-75.7312,-0.09022,-0.043485,-0.04036,-0.043471,-0.037749,-38.0153,-0.046315,-42.2583,-0.051278
WN2001,60.9415,-9.8378,-98.6047,-64.8313,112.4678,-269.4224,-76.7666,-14.5478,-61.4645,59.8291,-13.4822,-71.5112,54.4636,-9.1787,-94.6388,-68.8145,-13.7121,-17.0445,-9.8003,-66.8487,-0.10081,-131.6493,-0.14377,-0.10017,-0.092455,-0.096553,-0.085718,-99.5458,-0.10785,-112.6465,-0.12196
WN2002,1.2152,-8.3656,6.8699,-6.5728,10.0502,-63.9916,-44.3935,-7.114,9.5298,5.5636,-8.461,5.8334,3.5728,-7.7855,9.2467,1.0323,-5.202,-4.2017,-9.1112,2.8302,-0.024281,-27.5446,-0.039285,-0.024405,-0.022055,-0.022885,-0.0201,-18.8648,-0.028315,-22.6455,-0.034652
WN2033,12.1678,-8.9068,-31.2592,-30.4672,45.5296,-126.459,-64.9704,-7.4374,-34.5401,15.8823,-7.9162,-27.2909,10.2765,-7.0945,-30.4622,-21.6261,-7.6641,-6.9616,-7.7868,-33.6759,-0.059263,-67.4131,-0.070545,-0.060026,-0.057662,-0.060352,-0.053862,-59.2762,-0.062653,-64.1436,-0.066964
XZ1513,-7.6593,-4.5322,19.5242,14.9407,-48.5677,6.816,-3.1103,-1.8536,55.3478,-24.4112,-3.1748,36.1062,-16.6335,-5.5905,17.9643,21.946,-3.1735,0.35334,-3.0344,35.0768,-0.0046644,-7.6297,-0.0093881,-0.0030554,-0.0023724,-0.0031541,-0.0019645,-4.6407,-0.0036827,-7.3636,-0.0067785
XZ1514,-10.3338,0.34956,12.7189,1.7749,-22.9389,30.7318,3.7459,-0.029574,19.4727,-19.0504,3.1098,19.7058,-7.3599,-0.15102,8.6109,-0.34283,-0.50865,-0.34583,2.4231,4.53,0.025994,22.3857,0.02315,0.028012,0.03282,0.028972,0.028742,21.7711,0.023349,16.4307,0.016713
XZ1516,84.5687,-6.246,-98.009,-58.296,86.7383,-186.174,-56.7631,-11.9363,-49.12,64.5892,-9.4824,-55.6887,80.7384,-6.7537,-88.1148,-58.9093,-14.7262,-13.202,-10.4188,-50.2934,-0.041779,-59.8029,-0.066026,-0.025188,-0.025284,-0.033186,-0.022668,-22.9523,-0.025563,-25.0724,-0.028098
