strain	min	10prc	25prc	median	mean	75prc	90prc	max	iqr
JU2879	-1.2162	-26.6391	-19.7908	-15.634	-9.9574	-0.67765	11.7142	41.5166	25.3691
JU2906	-0.034124	2.9366	-4.0277	-0.4928	3.6362	4.9078	11.4366	4.1165	14.8059
JU310	0.11291	-5.5964	-12.0431	-20.6025	-12.2582	-12.8536	-13.8378	-28.9561	-1.2919
JU311	-0.33567	1.7844	16.3456	17.1247	4.8913	3.8237	-1.1388	39.4815	-11.767
JU3125	0	20.1078	39.8004	42.9078	31.2796	27.7815	23.545	39.3786	-10.2664
JU3127	0	7.2995	19.4595	17.2947	6.8994	-1.9402	-9.2728	14.241	-22.9646
JU3134	-0.016488	7.3974	20.0221	34.3265	22.7628	25.0795	22.8138	63.9082	1.9879
JU3135	-0.23265	-42.7935	-57.5697	-39.4271	-29.0309	-9.977	-0.63341	84.7955	44.4371
JU3137	0	-7.3257	-11.8738	-6.8651	-8.3001	-3.8644	2.982	-13.8085	10.3797
JU3140	0	4.158	15.6121	25.272	11.4933	4.4522	2.8574	3.7113	-18.1078
JU323	0	9.7905	26.0141	55.699	35.229	42.4991	22.7543	46.9251	11.8167
JU346	0	5.0026	7.7185	17.9227	9.5011	21.0586	11.4706	26.2068	15.0249
JU360	-0.89201	-40.4495	-26.5638	-10.3182	-16.4209	-4.2617	2.8693	108.7329	25.5179
JU367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
JU393	-0.10677	-16.7984	-26.5929	-24.1808	-13.1832	0.60564	4.6631	64.53	18.3957
JU394	0	5.7452	14.1434	29.4357	26.2585	48.3229	36.4522	87.3056	38.0516
JU397	-0.09437	-14.4625	-29.7756	-27.2229	-19.9455	-17.4707	-12.5793	-11.5879	13.4133
JU406	-0.19358	2.9144	5.4706	7.4889	1.2621	-2.8831	-18.6135	13.1408	-11.5866
JU440	-0.05381	-1.9927	0.51297	3.8304	2.0946	5.5019	1.5597	65.27	5.924
JU561	0	11.9037	30.4799	63.3694	51.8451	75.8278	63.4364	122.2305	45.348
JU642	-0.017036	4.1207	12.8578	30.4341	21.3034	23.5576	14.9033	41.6164	-3.9569
JU751	0.83075	24.7902	12.9468	-6.4646	-1.1964	-27.6963	-8.608	-30.7139	-40.6431
JU774	-0.067702	-8.8856	-21.2122	-34.6587	-21.0567	-19.3384	-11.3276	65.9829	-3.806
JU775	0	4.4641	20.9473	32.8322	23.3948	16.753	13.2603	17.3533	-3.8676
JU778	-0.022521	5.8136	14.6384	-14.0802	-6.139	-15.7141	-12.1033	-36.3399	-30.3526
JU782	-0.16277	-11.2864	-12.566	-2.5459	4.6842	25.9465	31.0357	92.0426	38.5125
JU792	0	5.7473	10.9643	18.5675	12.8141	17.4001	8.7239	41.9944	6.4358
JU830	-1.0257	-23.4226	-43.1101	-64.858	-38.136	-49.734	-33.0864	31.4668	-14.9763
JU847	-0.011395	-2.652	9.1845	23.5862	16.4171	22.8703	23.3351	13.0894	13.6858
KR314	-1.0056	-20.7564	-17.7528	2.3012	15.5625	40.9268	76.9756	133.7762	58.4571
LKC34	0	4.7517	10.6745	17.1939	19.8726	28.8361	33.8806	31.7329	6.5317
LSJ1	-0.042018	3.5864	4.9915	4.7223	4.4504	6.6218	3.4139	25.1617	1.6303
MY1	-5.6523	0.57355	18.0071	48.7846	43.6973	67.8573	69.0373	106.9342	48.6796
MY10	-0.23342	-30.8825	-59.6995	-80.1695	-58.9371	-62.4914	-57.7887	-31.4866	-2.7919
MY16	0	7.5766	5.3291	5.4961	7.9993	8.9469	13.7973	45.7175	13.4315
MY18	-0.10828	-24.9747	-56.358	-57.3821	-41.4422	-33.8274	-28.0864	-35.6163	39.3663
MY2212	0.10085	21.5809	36.0577	37.5828	24.2502	11.1385	1.027	64.2562	-19.881
MY23	-0.16173	-15.3661	-10.4719	-19.724	-20.1843	-22.118	-20.475	14.6689	-6.3802
MY2453	0	6.9076	20.0431	43.5593	31.2831	39.4402	24.0254	72.3327	15.6222
MY2530	-0.077814	-1.633	2.3031	19.565	15.6555	26.0407	26.9403	73.3828	10.2252
MY2535	0	10.863	32.8945	34.7931	21.9252	15.2582	9.8147	59.6202	-21.7396
MY2573	-0.019072	1.211	7.821	-0.79828	-7.0904	29.4068	57.6324	204.676	76.2011
MY2693	0	3.7193	10.0717	9.2896	-0.4817	-13.0789	-16.4842	-9.2551	-13.8082
MY2741	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MY679	0	6.4588	17.3356	22.0435	18.1164	18.4021	16.0911	-11.1398	-5.7078
MY920	0.27694	4.2385	13.9307	23.7725	18.9999	33.096	16.9914	32.7396	14.1539
N2	0	-0.44984	-1.0016	-1.9679	-2.6549	-3.6736	-3.6448	20.967	-1.6921
NIC1	-0.11225	-13.0734	-21.9008	-26.3713	-19.432	-23.7636	-10.5975	-36.0233	-9.2336
NIC1107	-0.22397	-26.9318	-41.0337	-18.636	-6.5916	10.18	11.5231	96.8656	42.7357
NIC166	-0.064709	-15.2815	-27.6333	-71.9238	-60.5194	-86.6879	-89.2086	-117.6112	-59.0546
NIC195	-0.041291	6.0314	15.6173	17.0809	12.2874	13.2146	8.2157	39.7775	0.34129
NIC199	0	18.1629	30.8943	31.6794	22.4066	16.2187	11.3156	58.8638	-11.275
NIC2	-0.095334	-0.22954	-0.63707	0.40278	2.0237	10.2518	14.1611	-1.6717	0.97734
NIC207	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NIC231	-0.61402	-38.9994	-54.8643	-72.5299	-52.8221	-53.6564	-38.0571	19.6646	3.1152
NIC236	0	9.6163	21.6538	34.6169	28.4909	36.5458	39.6997	65.2175	16.9544
NIC242	0	-6.4593	-9.4713	5.4756	4.0903	15.3365	2.8739	30.1027	8.1961
NIC251	-0.09563	-16.3866	-41.4541	-44.9292	-26.5721	-19.7668	-11.6399	41.3631	25.6509
NIC252	-0.083008	-12.9635	-25.6853	-21.3328	-16.3555	-17.2619	-18.5897	-21.5177	17.5952
NIC255	0	-17.454	-24.2023	-15.7586	-12.077	-2.9202	-0.96373	-16.357	17.2243
NIC256	-0.094905	-22.9015	-39.0737	-40.2941	-28.8925	-33.1139	-26.5721	-14.0019	6.4702
NIC258	-23.5881	-34.0488	-37.5435	-41.3978	-31.7715	-29.9916	-19.5127	53.703	7.5519
NIC259	-0.18279	-19.0218	-25.6987	-19.9027	-12.1565	-1.8888	8.5039	92.4243	23.8099
NIC260	0	4.821	15.2513	42.5019	28.5502	42.9106	29.2137	41.9454	28.7223
NIC261	-0.14988	-6.7008	-7.0274	-7.7019	-10.0993	-15.1281	-16.5954	37.3141	-2.0308
NIC262	0	6.9097	16.6557	30.3058	24.1003	29.0667	34.4424	85.8383	12.4111
NIC265	-0.60257	-26.4988	-45.4586	-69.9376	-60.5255	-79.1128	-83.0848	-67.5076	-33.6542
NIC266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NIC267	0	-8.308	-10.1761	-4.4603	-1.4395	4.4738	2.0642	13.447	16.7867
NIC268	-0.085536	-16.5716	-17.5868	-4.8991	-5.9358	2.0682	4.5889	27.2619	19.655
NIC269	-0.42249	-18.162	-22.528	-11.9196	-7.1444	2.4705	11.0914	69.967	24.9985
NIC271	0	16.459	34.4862	54.7122	43.7643	60.9145	48.6679	18.3227	26.4283
NIC272	0	-21.701	-39.7274	-50.1853	-34.7037	-38.0507	-18.9191	10.9118	1.6767
NIC274	0	-4.7673	-7.9161	-5.2906	-7.5185	-8.884	-2.6118	42.3102	5.4221
NIC275	-0.015109	-4.5614	-10.291	-11.0505	-6.5693	-0.41025	5.74	77.4677	-1.4296
NIC276	0.04859	17.8909	30.7748	25.8693	18.2296	10.5137	2.1105	44.0605	-12.7353
NIC277	0	6.5953	23.2178	35.5981	30.9938	34.223	45.0641	118.0108	8.6868
NIC3	0	3.2836	11.728	13.0574	16.4086	22.2339	31.2635	92.0546	10.5058
NIC513	-0.01556	-22.3269	-26.2479	-16.9355	-13.3527	-3.6554	-0.89049	25.6819	22.5925
NIC514	-0.10326	4.2433	11.1408	20.5278	15.2524	19.4698	12.9957	37.183	8.7959
