strain,blob_box_width_90th_medianDiff_all,blob_box_width_IQR_medianDiff_all,blob_box_width_w_forward_IQR_medianDiff_all,blob_box_width_w_paused_10th_medianDiff_all,blob_box_width_w_paused_50th_medianDiff_all,blob_box_width_w_paused_90th_medianDiff_all,blob_box_width_w_paused_IQR_medianDiff_all,d_blob_box_width_10th_medianDiff_all,d_blob_box_width_90th_medianDiff_all,d_blob_box_width_IQR_medianDiff_all,d_blob_box_width_w_forward_10th_medianDiff_all,d_blob_box_width_w_forward_IQR_medianDiff_all,d_blob_box_width_w_paused_10th_medianDiff_all,d_blob_box_width_w_paused_90th_medianDiff_all,d_blob_box_width_w_paused_IQR_medianDiff_all,d_width_head_base_w_backward_50th_medianDiff_all,d_width_head_base_w_backward_90th_medianDiff_all
JU1213,236.0665,38.7464,5.9418,60.6349,230.5354,393.3557,210.3617,-8.7554,9.2006,6.3844,-4.5101,3.9426,-28.2703,32.7963,23.2186,-0.39476,-3.6219
JU1242,180.4236,30.254,5.5145,59.106,178.1871,176.036,145.5405,-8.2709,6.9421,5.2548,-4.808,2.959,-23.563,32.3589,18.9716,-0.56547,-5.8607
JU1246,136.877,35.6405,-1.8811,8.2583,201.0309,343.5872,268.6689,-1.771,3.3915,2.2387,-0.22121,2.1359,-22.6016,17.5782,11.8154,-0.49005,-1.4307
JU1395,181.9928,24.9214,3.0736,55.1531,165.0355,266.2573,155.253,-7.9964,8.7817,5.7337,-3.6508,2.5766,-31.8919,29.905,18.6121,-0.62007,-1.8769
JU1400,71.301,14.1545,9.9007,2.8338,110.8461,258.2251,165.5943,-3.7035,3.28,2.8919,-2.2899,1.1268,-18.8338,20.4056,5.8364,-0.4244,-2.9761
JU1409,58.0477,9.2852,0.23324,6.1606,101.4743,181.0908,139.5546,-11.6739,12.6285,7.4189,-9.9052,5.4124,-26.5594,34.4665,15.9126,-0.23385,-3.4463
JU1440,189.7623,44.0393,9.1661,8.9491,57.4907,403.0351,301.0866,-7.1941,7.8592,3.4848,-5.4469,2.8173,-31.0341,30.4541,9.4059,-0.27486,-2.7633
JU1491,177.8635,32.0908,-0.82359,49.3205,171.2784,382.3079,264.3755,-8.8215,11.3396,6.485,-6.6282,4.4537,-29.4643,33.7257,21.385,-0.70087,-4.0763
JU1530,195.4384,22.9499,5.1831,1.6597,163.5627,301.6898,183.1061,-6.1076,5.0648,4.7142,-4.093,3.0962,-20.0503,27.8533,17.0394,-0.77156,-8.0814
JU1543,213.3228,25.9507,3.1128,29.9867,214.4156,240.4298,268.7442,1.418,-2.8585,-1.8124,2.4458,-2.7656,-31.12,14.3195,18.8997,-0.1978,-0.71858
JU1568,262.5724,85.489,-4.1394,-10.5145,152.3872,279.7859,194.1308,-8.8035,10.3645,5.7631,-3.693,3.0186,-20.763,21.0958,12.8644,-0.16999,-4.5701
JU1580,67.5945,14.8378,-0.31958,11.1126,77.9561,234.1696,151.8168,-0.36035,-0.26567,1.2058,1.7799,-0.028,-24.7365,27.1403,11.252,-0.49549,-1.4125
JU1581,103.933,23.0445,8.4221,29.4482,124.0415,285.948,180.4743,-8.0667,10.8934,6.5731,-4.1803,4.1562,-29.0406,35.2464,25.2721,-0.60527,-3.469
JU1586,176.143,35.056,4.6514,25.4591,136.1823,226.005,141.9911,-7.9379,6.925,4.4332,-5.1509,2.4347,-20.6558,12.775,10.4952,-0.69941,-3.8836
JU1652,62.336,15.5988,6.4593,14.905,150.7319,331.4199,189.4669,-10.0991,14.1195,10.399,-6.6194,3.8637,-41.4686,44.9916,21.1696,-0.30764,-1.3324
