strain	cluster	mw	sw	clusterNorm	mwNorm
NIC266	26.9249	31.6042	99.7521	0.27702	0.30599
NIC267	29.7937	30.1385	109.1079	0.26952	0.3234
NIC268	28.8378	40.3151	147.9717	0.19512	0.2723
NIC269	54.2515	34.024	115.4614	0.45864	0.29942
NIC271	30.1528	33.6774	90.0312	0.33322	0.34759
NIC272	17.9265	19.3277	71.732	0.24991	0.26944
NIC274	26.4516	27.1028	101.5913	0.24187	0.24855
NIC275	21.4688	25.8343	104.4547	0.2181	0.26245
NIC276	25.5558	36.5074	152.9967	0.18655	0.24116
NIC277	24.3989	33.6893	107.4533	0.2975	0.30664
NIC3	21.9464	17.4318	58.8523	0.377	0.40888
NIC513	24.408	25.0306	106.1291	0.23976	0.23627
NIC514	25.5764	37.4649	117.2793	0.26325	0.31945
NIC522	25.9725	28.2813	90.499	0.27587	0.31288
NIC523	25.3416	31.5058	78.2393	0.34034	0.38176
PB303	24.8824	32.2366	103.5695	0.28151	0.31769
PS2025	39.4991	43.089	119.708	0.32332	0.38161
PX179	26.1717	29.9929	113.1703	0.23009	0.25998
QG2075	11.0976	16.6763	56.7074	0.34249	0.34676
QG536	22.2926	29.7115	88.7942	0.25021	0.33826
QG556	22.674	42.1868	100.7407	0.19007	0.34461
QG557	45.5063	34.5563	123.7513	0.35745	0.33382
QW947	28.0497	29.919	78.8538	0.32687	0.44285
QX1212	18.5638	20.582	75.0316	0.24488	0.26038
QX1233	24.5798	23.9566	112.6529	0.22048	0.33979
QX1791	30.3893	34.4228	124.901	0.25319	0.28525
QX1792	26.2399	32.6518	117.0584	0.2157	0.29225
QX1793	21.1559	22.7898	126.8121	0.15864	0.17971
QX1794	25.3827	26.1829	92.9842	0.22841	0.27422
RC301	31.7672	32.1058	103.5051	0.34048	0.31019
WN2001	23.0671	29.0819	112.2866	0.20189	0.26713
WN2002	23.4015	29.4271	109.0743	0.23222	0.285
WN2033	24.3679	29.6442	99.3224	0.24423	0.32143
XZ1513	28.1791	33.0379	122.0813	0.23127	0.30218
XZ1514	27.0791	32.0682	114.396	0.23522	0.27856
XZ1516	35.2187	34.8498	93.7927	0.29054	0.35913
