strain	cluster	mw	sw
NIC199	0.04	0.04	0.04
NIC2	0.04	0.04	0.04
NIC207	0.04	0.04	0.04
NIC231	0.04	0.04	0.04
NIC236	0.04	0.04	0.04
NIC242	0.04	0.04	0.04
NIC251	0.04	0.04	0.04
NIC252	0.04	0.04	0.04
NIC255	0.04	0.04	0.04
NIC256	0.04	0.04	0.04
NIC258	0.04	0.04	0.04
NIC259	0.04	0.04	0.04
NIC260	0.04	0.04	0.04
NIC261	0.04	0.04	0.04
NIC262	0.04	0.04	0.04
NIC265	0.04	0.04	0.04
NIC266	0.04	0.04	0.04
NIC267	0.04	0.04	0.04
NIC268	0.04	0.04	0.04
NIC269	0.04	0.04	0.04
NIC271	0.04	0.04	0.04
NIC272	0.32	0.04	0.04
NIC274	0.04	0.04	0.04
NIC275	0.04	0.04	0.04
NIC276	0.04	0.04	0.04
NIC277	0.04	0.04	0.04
NIC3	0.04	0.04	0.04
NIC513	0.04	0.04	0.04
NIC514	0.04	0.04	0.04
NIC522	0.04	0.04	0.04
NIC523	0.04	0.04	0.04
PB303	0.04	0.04	0.04
PS2025	0.04	0.04	0.04
PX179	0.04	0.04	0.04
QG2075	0.04	0.04	0.04
QG536	0.04	0.04	0.04
QG556	0.04	0.04	0.04
QG557	0.04	0.04	0.04
QW947	0.04	0.04	0.04
QX1212	0.04	0.04	0.04
QX1233	0.04	0.04	0.04
QX1791	0.04	0.04	0.04
QX1792	0.04	0.04	0.04
QX1793	0.04	0.04	0.04
QX1794	0.04	0.04	0.04
RC301	0.04	0.04	0.04
WN2001	0.04	0.04	0.04
WN2002	0.04	0.04	0.04
WN2033	0.04	0.04	0.04
XZ1513	0.04	0.04	0.04
XZ1514	0.04	0.04	0.04
XZ1516	0.04	0.04	0.04
