strain	cluster	mw	sw	clusterNorm	mwNorm
JU1543	3.3019	2.464	1.6444	1.7561	1.4433
JU1568	3.5791	2.4635	1.9182	1.8409	1.2634
JU1580	3.2512	2.5411	1.6817	1.9333	1.4235
JU1581	4.847	2.9525	1.8575	2.6448	1.5929
JU1586	3.1229	2.3623	1.6873	1.887	1.4005
JU1652	2.9439	2.2428	1.9465	1.5441	1.1408
JU1793	3.4314	2.6879	1.7041	1.9752	1.5326
JU1808	3.6048	2.713	1.8685	2.0415	1.3928
JU1896	3.0251	2.4045	1.7768	1.7228	1.3864
JU2001	2.9381	1.6741	1.5615	1.889	1.1323
JU2007	3.5916	2.6121	1.679	2.0237	1.5792
JU2131	3.1485	2.5035	1.748	1.8781	1.4284
JU2141	3.4633	2.2153	1.5773	2.0848	1.4075
JU2234	3.5636	2.5923	1.7651	2.0212	1.4488
JU2464	2.5166	2.0924	1.453	1.7321	1.4047
JU2466	3.239	2.5298	1.7441	1.8409	1.5224
JU2513	3.5613	2.4435	1.8075	2.0476	1.4709
JU2519	3.2741	2.2972	1.7085	1.9846	1.4056
JU2522	3.9557	2.4704	1.869	2.1611	1.35
JU2526	4.7622	2.9171	1.8758	2.2555	1.5271
JU2534	3.1966	2.5134	1.6968	1.8839	1.502
