strains	param_a	param_b	param_c	param_d
NIC268	50182268.7023	-9.2056	22039059.8597	-2.9634
NIC269	71157577.6031	-11.5089	15466017.3623	-2.6851
NIC271	60777569.4307	-7.8085	5370567.0094	-1.6914
NIC272	115823893.9276	-5.4747	53013234.6513	-3.3818
NIC274	73352929.2515	-14.6367	34340646.4706	-3.8951
NIC275	102359855.1533	-6.4891	98361.3947	-1.6687
NIC276	107101567.3629	-19.035	46445139.1382	-3.9054
NIC277	60132528.1251	-7.4674	3770861.0289	-1.1746
NIC3	72366073.8283	-7.9629	6174927.274	-1.8148
NIC513	80797631.5661	-6.1717	3578906.2728	-1.4232
NIC514	138543235.6228	-10.1201	7258210.4912	-1.9655
NIC522	58980613.7344	-10.6704	18771454.1828	-2.9912
NIC523	68987809.8516	-8.292	4302569.4487	-1.146
PB303	77354762.53	-4.988	450272.062	0.31208
PS2025	137616332.161	-20.2218	64094217.3084	-5.6117
PX179	146976222.3737	-23.3213	98875224.8985	-4.6506
QG2075	99456732.1797	-6.0664	426607.9748	1.0143
QG536	59804959.5265	-25.295	49617097.783	-3.4449
QG556	116156809.467	-30.2626	68780914.8675	-4.5024
QG557	61659918.9431	-23.3958	58632723.9675	-4.651
QW947	70848583.6751	-8.0068	4821757.8344	-1.4575
QX1212	78613942.061	-6.7759	3661798.4419	-1.169
QX1233	111580006.705	-6.2482	2145391.3258	-0.79575
QX1791	73921564.6309	-8.798	4399216.8088	-1.4952
QX1792	76854627.4722	-5.4914	167391.0949	0.87551
QX1793	312104514439.2546	-209.9205	80663146.8333	-4.4593
QX1794	64333280.447	-8.0229	2701795.3752	-1.1083
RC301	81471711.4306	-6.1353	4748911.9118	-1.0069
WN2001	71069018.599	-25.0212	43668845.6109	-3.724
WN2002	74993395.8577	-8.1698	5223163.8584	-1.8709
WN2033	70442783.3059	-7.013	6263356.6505	-0.98923
XZ1513	5596560152626.108	-241.4068	512740801.5392	-7.0731
XZ1514	176258314.801	-8.6952	480428.3983	0.49843
XZ1516	56697167.2611	-20.4851	46905070.1496	-4.5756
