strain	cluster	mw	sw
NIC275	0.36	0.08	0.6
NIC276	1.92	0.08	1.08
NIC277	1.16	0.08	0.84
NIC3	0.24	0.04	0.16
NIC513	0.24	0.04	0.24
NIC514	1.64	0.08	1.12
NIC522	0.96	0.08	0.4
NIC523	0.36	0.12	0.84
PB303	1.04	0.08	0.72
PS2025	0.16	0.08	1.44
PX179	0.32	0.12	2.2
QG2075	0.08	0.04	0.08
QG536	1.16	0.96	2.84
QG556	0.44	0.08	0.96
QG557	0.2	0.12	1.64
QW947	0.36	0.08	0.32
QX1212	0.16	0.04	0.2
QX1233	0.8	0.16	1.6
QX1791	0.36	0.08	0.48
QX1792	1.08	0.08	0.56
QX1793	1.76	0.08	0.52
QX1794	0.52	0.04	0.28
RC301	1.8	0.28	1.56
WN2001	2.12	0.04	0.12
WN2002	0.36	0.04	0.24
WN2033	1.16	0.96	1.96
XZ1513	1.76	0.12	1.44
XZ1514	0.32	0.12	0.92
XZ1516	0.36	0.04	0.2
