strain,d_curvature_std_hips_w_backward_50th_medianDiff_all,d_path_curvature_body_IQR_medianDiff_all,d_path_curvature_body_abs_10th_medianDiff_all,d_path_curvature_body_abs_50th_medianDiff_all,d_path_curvature_body_norm_abs_10th_medianDiff_all,d_path_curvature_body_w_backward_10th_medianDiff_all,d_path_curvature_body_w_backward_90th_medianDiff_all,d_path_curvature_body_w_backward_IQR_medianDiff_all,d_path_curvature_body_w_backward_abs_10th_medianDiff_all,d_path_curvature_body_w_backward_abs_50th_medianDiff_all,d_path_curvature_body_w_backward_abs_90th_medianDiff_all,d_path_curvature_body_w_backward_abs_IQR_medianDiff_all,d_path_curvature_body_w_forward_abs_10th_medianDiff_all,d_path_curvature_head_IQR_medianDiff_all,d_path_curvature_head_abs_10th_medianDiff_all,d_path_curvature_head_abs_50th_medianDiff_all,d_path_curvature_head_abs_IQR_medianDiff_all,d_path_curvature_head_norm_abs_10th_medianDiff_all,d_path_curvature_head_w_backward_10th_medianDiff_all,d_path_curvature_head_w_backward_90th_medianDiff_all,d_path_curvature_head_w_backward_IQR_medianDiff_all,d_path_curvature_head_w_backward_abs_10th_medianDiff_all,d_path_curvature_head_w_backward_abs_50th_medianDiff_all,d_path_curvature_head_w_backward_abs_90th_medianDiff_all,d_path_curvature_head_w_backward_abs_IQR_medianDiff_all,d_path_curvature_head_w_forward_abs_10th_medianDiff_all,d_path_curvature_head_w_paused_10th_medianDiff_all,d_path_curvature_midbody_IQR_medianDiff_all,d_path_curvature_midbody_abs_10th_medianDiff_all,d_path_curvature_midbody_abs_50th_medianDiff_all,d_path_curvature_midbody_norm_abs_10th_medianDiff_all,d_path_curvature_midbody_w_backward_10th_medianDiff_all,d_path_curvature_midbody_w_backward_90th_medianDiff_all,d_path_curvature_midbody_w_backward_IQR_medianDiff_all,d_path_curvature_midbody_w_backward_abs_10th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_50th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_90th_medianDiff_all,d_path_curvature_midbody_w_backward_abs_IQR_medianDiff_all,d_path_curvature_midbody_w_paused_IQR_medianDiff_all,d_path_curvature_tail_IQR_medianDiff_all,d_path_curvature_tail_abs_10th_medianDiff_all,d_path_curvature_tail_abs_50th_medianDiff_all,d_path_curvature_tail_norm_abs_10th_medianDiff_all,d_path_curvature_tail_w_backward_10th_medianDiff_all,d_path_curvature_tail_w_backward_90th_medianDiff_all,d_path_curvature_tail_w_backward_IQR_medianDiff_all,d_path_curvature_tail_w_backward_abs_10th_medianDiff_all,d_path_curvature_tail_w_backward_abs_50th_medianDiff_all,d_path_curvature_tail_w_backward_abs_90th_medianDiff_all,d_path_curvature_tail_w_backward_abs_IQR_medianDiff_all,d_path_curvature_tail_w_forward_abs_10th_medianDiff_all,path_curvature_body_10th_medianDiff_all,path_curvature_body_50th_medianDiff_all,path_curvature_body_abs_50th_medianDiff_all,path_curvature_body_abs_90th_medianDiff_all,path_curvature_body_w_backward_10th_medianDiff_all,path_curvature_body_w_backward_90th_medianDiff_all,path_curvature_body_w_backward_IQR_medianDiff_all,path_curvature_body_w_backward_abs_50th_medianDiff_all,path_curvature_body_w_backward_abs_90th_medianDiff_all,path_curvature_body_w_backward_abs_IQR_medianDiff_all,path_curvature_body_w_paused_50th_medianDiff_all,path_curvature_body_w_paused_abs_50th_medianDiff_all,path_curvature_head_10th_medianDiff_all,path_curvature_head_50th_medianDiff_all,path_curvature_head_abs_90th_medianDiff_all,path_curvature_head_w_backward_10th_medianDiff_all,path_curvature_head_w_backward_90th_medianDiff_all,path_curvature_head_w_backward_IQR_medianDiff_all,path_curvature_head_w_backward_abs_10th_medianDiff_all,path_curvature_head_w_backward_abs_50th_medianDiff_all,path_curvature_head_w_backward_abs_90th_medianDiff_all,path_curvature_head_w_backward_abs_IQR_medianDiff_all,path_curvature_head_w_paused_50th_medianDiff_all,path_curvature_head_w_paused_abs_50th_medianDiff_all,path_curvature_midbody_10th_medianDiff_all,path_curvature_midbody_50th_medianDiff_all,path_curvature_midbody_abs_50th_medianDiff_all,path_curvature_midbody_abs_90th_medianDiff_all,path_curvature_midbody_w_backward_10th_medianDiff_all,path_curvature_midbody_w_backward_90th_medianDiff_all,path_curvature_midbody_w_backward_IQR_medianDiff_all,path_curvature_midbody_w_backward_abs_50th_medianDiff_all,path_curvature_midbody_w_backward_abs_90th_medianDiff_all,path_curvature_midbody_w_backward_abs_IQR_medianDiff_all,path_curvature_midbody_w_paused_50th_medianDiff_all,path_curvature_midbody_w_paused_abs_50th_medianDiff_all,path_curvature_tail_10th_medianDiff_all,path_curvature_tail_50th_medianDiff_all,path_curvature_tail_abs_50th_medianDiff_all,path_curvature_tail_abs_90th_medianDiff_all,path_curvature_tail_w_backward_10th_medianDiff_all,path_curvature_tail_w_backward_90th_medianDiff_all,path_curvature_tail_w_backward_IQR_medianDiff_all,path_curvature_tail_w_backward_abs_50th_medianDiff_all,path_curvature_tail_w_backward_abs_90th_medianDiff_all,path_curvature_tail_w_backward_abs_IQR_medianDiff_all,path_curvature_tail_w_paused_10th_medianDiff_all,path_curvature_tail_w_paused_50th_medianDiff_all,path_curvature_tail_w_paused_abs_50th_medianDiff_all,path_curvature_tail_w_paused_abs_90th_medianDiff_all
JU3140,-9.1188e-05,-0.00055037,-0.00010972,-0.0002751,-0.014439,0.16449,-0.13747,-0.0043467,-0.00015322,-0.0021163,-0.37858,-0.052227,-1.4106e-05,-0.0035988,-0.0010432,-0.0018006,0.00038275,-0.24237,0.018308,-0.018999,-0.0043617,-0.00056575,-0.0021893,-0.081762,-0.0089919,-0.00022144,0.075933,-0.0017681,-0.00023115,-0.0008836,-0.058165,0.11433,-0.16247,-0.0052525,-0.00028604,-0.0026244,-0.64292,-0.04374,-0.005072,-0.0030272,-0.00032854,-0.0015128,-0.025923,0.16972,-0.18837,-0.0090988,-0.00032875,-0.0044208,-0.49931,-0.067937,-0.00010115,-9.223372036854776e+18,-0.00015411,0.00010791,9.223372036854776e+18,0.011601,-0.011709,-0.0021443,-0.0010905,-0.10674,-0.0057437,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0010502,9.223372036854776e+18,0.0053947,-0.00257,-0.0019084,-0.00010936,-0.00086556,-0.018067,-0.0044198,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00035326,6.3501e-05,9.223372036854776e+18,0.0045879,-0.0185,-0.0021993,-0.0010893,-0.061962,-0.0061803,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0003934,5.9255e-05,9.223372036854776e+18,0.010698,-0.014677,-0.0011254,-0.00063387,-0.10784,-0.0079452,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU323,-7.0222e-05,-0.00052213,-0.00012325,-0.00026119,-0.039456,0.26477,-0.23758,-0.0032282,-5.0928e-05,-0.0016192,-1.1203,-0.072335,-2.9112e-05,-0.0026313,-0.0010254,-0.001315,0.0021271,-0.34912,0.011316,-0.013261,-0.0031545,-0.00039255,-0.0016028,-0.040458,-0.010408,-0.00020674,0.055787,-0.0010783,-0.00023947,-0.00053999,-0.062173,0.27529,-0.26233,-0.0038122,-4.8484e-05,-0.0018964,-1.1778,-0.089919,-0.0025091,-0.0026135,-0.00049148,-0.0013054,-0.16993,0.28719,-0.35252,-0.0044076,-0.00022994,-0.0022226,-1.5053,-0.10235,-0.00017188,-9.223372036854776e+18,-0.00019885,0.00010407,9.223372036854776e+18,0.014792,-0.013115,-0.00066137,-0.00034421,-0.20167,-0.0055688,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00076923,9.223372036854776e+18,0.0027328,-0.0050451,-0.0015004,-0.00021914,-0.00072086,-0.0091369,-0.0028215,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00032624,0.00034274,9.223372036854776e+18,0.008013,-0.011533,-0.00072281,-0.00036017,-0.16686,-0.005743,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00043135,0.0004008,9.223372036854776e+18,0.039651,-0.013736,-0.00043044,-0.00020681,-0.2489,-0.011312,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
JU346,-1.6926e-05,-0.00021199,-5.5741e-05,-0.00010681,-0.014041,0.19281,-0.21451,-0.0042346,-8.1109e-05,-0.002122,-0.81332,-0.082911,-3.4599e-06,-0.0023153,-0.00049541,-0.0011574,0.00010834,-0.19996,0.031904,-0.026007,-0.0049994,-0.00022892,-0.0024497,-0.091397,-0.017322,-7.2531e-05,0.033747,-0.00039927,-0.00010917,-0.00019952,-0.016027,0.34167,-0.12562,-0.004006,-0.00011063,-0.0019789,-1.4728,-0.071928,-0.00086271,-0.0010383,-0.00023831,-0.00051736,-0.030314,0.36006,-0.22391,-0.0057965,-0.0001914,-0.0027579,-1.1948,-0.093203,-2.4233e-05,-9.223372036854776e+18,-0.00020975,0.00015407,9.223372036854776e+18,0.014746,-0.020918,-0.00093169,-0.00043952,-0.15426,-0.0089856,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011048,9.223372036854776e+18,0.0049556,-0.0027271,-0.0011213,-0.00013303,-0.00052852,-0.018688,-0.0032468,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00043704,0.00044927,9.223372036854776e+18,0.0181,-0.01819,-0.00087947,-0.00035935,-0.19298,-0.0049117,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00064798,0.00056871,9.223372036854776e+18,0.021316,-0.02075,-0.0010926,-0.00061292,-0.28889,-0.01035,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU360,-0.00017062,-0.0003877,-0.00013352,-0.00019399,-0.045811,0.29289,-0.34772,-0.0066073,-0.0002067,-0.0029605,-2.495,-0.11084,-3.383e-05,-0.0025911,-0.0016378,-0.0012887,0.0015295,-0.47485,0.01099,-0.019674,-0.0056516,-0.00076159,-0.0028221,-0.067831,-0.0062317,-0.00048707,0.0056649,-0.00024639,-0.00041682,-0.00012368,-0.10528,0.32369,-0.42297,-0.007008,-0.000454,-0.0035152,-3.0986,-0.10918,-0.00016426,-0.0010271,-0.00080237,-0.00051375,-0.23817,0.60512,-0.41386,-0.014074,-0.00083934,-0.0072467,-2.6308,-0.18179,-0.00017435,-0.0037783,-7.1857e-05,6.5053e-05,0.030083,0.026712,-0.018019,-0.0015112,-0.00058038,-0.31508,-0.011239,-9.223372036854776e+18,9.223372036854776e+18,-0.0041683,-0.00045339,0.010456,0.0032445,-0.0027526,-0.00053251,-0.00010283,-0.00029694,-0.0084794,-0.001809,-9.223372036854776e+18,9.223372036854776e+18,-0.0049036,-0.00022822,0.0004119,0.03142,0.024551,-0.021877,-0.0017293,-0.00088481,-0.2602,-0.0092778,-9.223372036854776e+18,9.223372036854776e+18,-0.0043912,-0.00032057,0.00034717,0.029175,0.030026,-0.044558,-0.003175,-0.0015814,-0.38664,-0.014109,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU367,-8.2817e-05,-0.00012692,-6.6035e-05,-6.3407e-05,0.0022962,0.17615,-0.15229,-0.0053907,-0.00015056,-0.0027197,-0.2489,-0.070937,1.8877e-06,-0.0033942,-0.00060421,-0.0016966,0.00092451,-0.24386,0.034954,-0.043791,-0.0069394,-0.00050755,-0.0034869,-0.13694,-0.022054,-0.00024292,0.00068103,-0.00040474,-0.00015349,-0.00020347,-0.007871,0.26592,-0.21912,-0.0063298,-0.0002315,-0.0032772,-0.76289,-0.08133,0,-0.0017743,-0.00033845,-0.00088684,-0.12266,0.21326,-0.30627,-0.010254,-0.00047261,-0.0048981,-0.87413,-0.1132,-0.00015231,-9.223372036854776e+18,-7.7954e-05,0.00017763,9.223372036854776e+18,0.019844,-0.0090289,-0.00063994,-0.00027354,-0.12982,-0.0056452,0,0,-9.223372036854776e+18,-0.00069237,9.223372036854776e+18,0.0052745,-0.0051865,-0.0024927,-0.00015528,-0.0012639,-0.017323,-0.0038051,0,0,-9.223372036854776e+18,-0.00025463,0.0004328,9.223372036854776e+18,0.015088,-0.010239,-0.00018449,-8.898e-05,-0.1483,-0.0069688,0,0,-9.223372036854776e+18,-0.000607,0.00064155,9.223372036854776e+18,0.017755,-0.02666,-0.0017633,-0.00087765,-0.20945,-0.0096397,0,0,0,0
JU393,-1.0688e-05,-0.00063316,-4.7474e-05,-0.00031629,-0.040537,0.18905,-0.37368,-0.0069724,-0.00015659,-0.0034348,-0.36506,-0.10467,-2.5438e-05,-0.0049194,-0.00043752,-0.0024598,0.0014358,-0.60552,0.0083039,-0.018803,-0.0051904,-0.00061714,-0.0026172,-0.063991,-0.0053111,-0.00054308,0.025025,-0.0013221,-9.8419e-05,-0.00066066,-0.13564,0.32908,-0.22245,-0.011061,-0.00032756,-0.0051233,-0.60082,-0.11873,-0.00012765,-0.0021172,-0.0001917,-0.0010591,-0.24852,0.52786,-0.31892,-0.011808,-0.00064074,-0.0059573,-0.91648,-0.16197,-0.00018962,-9.223372036854776e+18,-0.00041519,0.00047579,9.223372036854776e+18,0.029133,-0.019667,-0.0012534,-0.00063012,-0.12244,-0.010001,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0020638,9.223372036854776e+18,-0.0005111,-0.0019491,-0.00075688,-0.00022933,-0.00037247,0.00011163,-0.0019276,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00086479,0.0008556,9.223372036854776e+18,0.024236,-0.025347,-0.0011499,-0.00059561,-0.11525,-0.0063779,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0015397,0.001114,9.223372036854776e+18,0.05956,-0.032483,-0.002738,-0.0014099,-0.27013,-0.01471,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU394,-6.8843e-05,-0.00063889,-4.3997e-05,-0.00031871,-0.029976,0.77075,-0.58036,-0.0054486,-0.00012681,-0.0027338,-2.6303,-0.26368,-1.3941e-05,-0.003334,-0.00034506,-0.0016679,-0.00029688,-0.32474,0.044935,-0.048607,-0.0065787,-0.00063877,-0.0032731,-0.23417,-0.023035,-0.00023005,0.0013135,-0.001455,-7.2292e-05,-0.00072771,-0.069407,0.84597,-0.74743,-0.0085569,-0.00025117,-0.0042237,-3.0154,-0.30509,-1.5036e-05,-0.0026755,-0.00018404,-0.001338,-0.15505,0.93835,-0.77146,-0.0097595,-0.00054413,-0.0048247,-2.4058,-0.2992,-1.4266e-05,-9.223372036854776e+18,-0.00033316,0.0004416,9.223372036854776e+18,0.037361,-0.023126,-0.00051273,-0.00028991,-0.41322,-0.0093943,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0014932,9.223372036854776e+18,0.0089314,-0.0053933,-0.0017702,-0.00015646,-0.00090267,-0.0176,-0.0038615,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00060579,0.0008809,9.223372036854776e+18,0.030733,-0.017641,-0.00063373,-0.0003234,-0.39971,-0.010651,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0010308,0.0011698,9.223372036854776e+18,0.026767,-0.03244,-0.0012733,-0.0006362,-0.40775,-0.013537,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
JU397,-8.6216e-05,-0.00024863,-0.00013743,-0.00012408,-0.031721,0.1226,-0.17404,-0.0033371,-0.00017371,-0.0015549,-0.81597,-0.043284,-2.5332e-05,-0.0028629,-0.0016739,-0.0014299,0.0016646,-0.52274,0.0065414,-0.015436,-0.0033807,-0.0002927,-0.0017263,-0.07819,-0.0036507,-0.00073669,0.0054225,-0.0013003,-0.00040876,-0.0006502,-0.10629,0.18755,-0.15983,-0.0044436,-0.00035054,-0.0022075,-1.3779,-0.071843,-0.00039758,-0.0025278,-0.00078316,-0.0012652,-0.24664,0.12865,-0.24517,-0.0087465,-0.00054544,-0.0042403,-1.1669,-0.074911,-0.00027464,-0.026771,-7.2558e-05,4.3729e-05,0.31163,0.014981,-0.0067284,-0.0016581,-0.0007799,-0.19942,-0.0037241,-9.223372036854776e+18,9.223372036854776e+18,-0.026277,-0.00042777,0.067247,0.00023806,-0.0017419,-0.0003363,-0.00012439,-0.00019044,-0.0032541,-0.00073603,-9.223372036854776e+18,9.223372036854776e+18,-0.029372,-0.00023428,8.1023e-05,0.33798,0.013079,-0.0076638,-0.0020797,-0.0010182,-0.2407,-0.0056905,-9.223372036854776e+18,9.223372036854776e+18,-0.048418,-0.0002826,0.00018595,0.27087,0.018487,-0.01465,-0.0015417,-0.00078776,-0.14312,-0.0057761,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU406,-7.0083e-05,-0.00051793,-9.4325e-05,-0.00025929,-0.017986,0.32227,-0.27743,-0.0051758,-0.00014351,-0.0025878,-1.0455,-0.10199,-1.6718e-05,-0.0029494,-0.0008941,-0.0014709,-3.6724e-05,-0.40532,0.024996,-0.029451,-0.0065721,-0.00069389,-0.0032872,-0.095469,-0.014961,-0.00015516,0.026426,-0.0016263,-0.00024935,-0.00081349,-0.090989,0.32844,-0.34122,-0.0067118,-0.00019807,-0.0033779,-1.4576,-0.10215,-3.3473e-06,-0.0032128,-0.00052398,-0.0016057,-0.20284,0.34742,-0.36622,-0.012833,-0.00041771,-0.0064761,-1.4309,-0.12248,-0.00011521,-9.223372036854776e+18,-0.00016557,3.9897e-05,9.223372036854776e+18,0.024844,-0.0060479,-0.0010937,-0.00051041,-0.14271,-0.0050739,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00088359,9.223372036854776e+18,0.0036141,-0.0067542,-0.0018936,-0.00016442,-0.00097111,-0.011771,-0.0037202,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00035889,8.5401e-05,9.223372036854776e+18,0.022672,-0.0061048,-0.00088619,-0.00043041,-0.15007,-0.005562,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00058375,8.8664e-05,9.223372036854776e+18,0.015193,-0.030778,-0.0020247,-0.0010209,-0.29937,-0.011153,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU440,5.9524e-06,-2.8213e-05,-5.3177e-05,-1.4435e-05,-0.021188,0.37823,-0.44191,-0.0046924,-0.0001207,-0.0023372,-1.1037,-0.13902,-1.5235e-05,-0.0017034,-0.0010258,-0.00084755,0.0010175,-0.45268,0.032766,-0.03228,-0.0061379,-0.00050441,-0.0030745,-0.13722,-0.01684,-0.00054975,0.0045047,-0.0011239,-0.00022313,-0.00056256,-0.075624,0.69813,-0.32085,-0.006372,-0.00030833,-0.0031546,-1.4932,-0.15672,-0.0016493,-0.0019538,-0.00049872,-0.00097804,-0.19965,0.47032,-0.73342,-0.01209,-0.00053424,-0.006041,-1.7881,-0.2462,-0.0002706,-0.00064159,-5.3651e-05,2.4651e-05,0.0033175,0.021787,-0.018812,-0.00092073,-0.00045546,-0.29075,-0.0078138,-9.223372036854776e+18,9.223372036854776e+18,-0.00091181,-0.00011748,0.0021395,0.0050481,-0.0047417,-0.0012893,-9.9237e-05,-0.00065062,-0.012846,-0.0034799,-9.223372036854776e+18,9.223372036854776e+18,-0.00072547,-5.3442e-05,-1.0889e-05,0.0037782,0.029466,-0.014755,-0.0014435,-0.00071451,-0.28616,-0.0078046,-9.223372036854776e+18,9.223372036854776e+18,-0.00086229,-8.5072e-05,-8.8597e-06,0.0044916,0.036336,-0.038485,-0.0018324,-0.00082693,-0.30325,-0.014813,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU561,-8.6905e-05,-0.00064865,-0.00012122,-0.00032423,-0.041164,0.4222,-0.45365,-0.0044715,-0.00013981,-0.0022087,-1.0781,-0.14075,-2.6263e-05,-0.0039914,-0.0010645,-0.0019959,0.0012839,-0.49051,0.016833,-0.013364,-0.004174,-0.00059867,-0.0020731,-0.068698,-0.0077311,-0.00028447,0.04791,-0.0013565,-0.00029166,-0.00067774,-0.11894,0.44768,-0.51413,-0.0068821,-0.00033785,-0.0033856,-2.0131,-0.13996,-0.0017841,-0.0031765,-0.00057684,-0.0015861,-0.29126,0.45446,-0.36847,-0.0093524,-0.00065806,-0.0045352,-1.0346,-0.17562,-0.00019968,-9.223372036854776e+18,-0.00024001,0.00024602,9.223372036854776e+18,0.040436,-0.028446,-0.00072493,-0.00037121,-0.2463,-0.0068968,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0012278,9.223372036854776e+18,0.0038933,-0.0040652,-0.00091268,-0.00015329,-0.00047241,-0.006957,-0.0022008,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00067674,0.00049047,9.223372036854776e+18,0.010509,-0.030595,-0.0008891,-0.00044286,-0.27273,-0.0054652,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00095208,0.00068726,9.223372036854776e+18,0.03774,-0.025129,-0.0015328,-0.00074583,-0.19621,-0.011616,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU642,2.0892e-05,-0.00026384,-0.00010454,-0.00013257,-0.030752,0.33037,-0.32071,-0.0041321,-0.00015497,-0.0020775,-2.0906,-0.091966,-2.2802e-05,-0.0021174,-0.0012598,-0.0010636,0.0016726,-0.52991,0.022208,-0.011369,-0.0048692,-0.00043289,-0.0024338,-0.098021,-0.0068889,-0.00040741,0.023429,-0.00028739,-0.00020832,-0.00014472,-0.076991,0.37066,-0.27294,-0.0076644,-0.00032638,-0.0038479,-2.7555,-0.08846,-0.0027434,-0.0010724,-0.00048028,-0.00053799,-0.16743,0.36976,-0.3457,-0.012167,-0.00069798,-0.006254,-1.945,-0.12465,-0.00013668,-0.0077368,-3.3327e-05,0.00014654,0.079972,0.018855,-0.010467,-0.0010861,-0.00052269,-0.33264,-0.0071438,-9.223372036854776e+18,9.223372036854776e+18,-0.0088117,-0.00036066,0.028958,0.0031706,-0.0052148,-0.00084764,-6.5442e-05,-0.00041646,-0.012534,-0.0022332,-9.223372036854776e+18,9.223372036854776e+18,-0.0087209,-0.00014908,0.00037722,0.078234,0.0055423,-0.035456,-0.0016759,-0.00085517,-0.32916,-0.0072734,-9.223372036854776e+18,9.223372036854776e+18,-0.011571,-0.00013961,0.00051596,0.088493,0.031274,-0.026351,-0.0023937,-0.0011694,-0.32419,-0.011455,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
JU751,0.00010061,-0.00062459,-0.00013722,-0.00031276,-0.018253,-0.0033858,0.017099,-0.00255,-0.00022566,-0.0012538,-0.05406,-0.0034789,-2.1317e-05,-0.0044969,-0.0011359,-0.0022403,-0.00060022,-0.76402,0.014061,-0.0083255,-0.0059787,-0.00086695,-0.0028468,-0.045251,-0.005818,-0.00069518,0.072943,-0.0011628,-0.00027768,-0.00058514,-0.16653,-6.0275e-05,0.0060002,-0.0052627,-0.00052181,-0.0025517,0.18337,-0.0042859,-0.0032973,-0.0030955,-0.00051066,-0.0015487,-0.10283,0.070498,-0.07084,-0.010759,-0.00095606,-0.0055015,-0.46655,-0.026623,-6.8894e-05,-9.223372036854776e+18,-0.00028564,0.00017321,9.223372036854776e+18,-0.00071149,-0.0051017,-0.0019418,-0.00081285,-0.0077918,-0.0042139,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0011815,9.223372036854776e+18,0.0030191,-0.0027221,-0.0015096,-0.0001729,-0.00075311,-0.0093095,-0.0015417,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00071404,0.0003761,9.223372036854776e+18,0.003726,-0.012318,-0.0024789,-0.001081,-0.064269,-0.0040641,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00074432,0.00023073,9.223372036854776e+18,0.021582,-0.017793,-0.00054457,-0.00018201,-0.18154,-0.0053427,0,-9.223372036854776e+18,9.223372036854776e+18,0
JU774,-5.387e-05,-0.00015153,-7.334e-05,-7.5705e-05,-0.030524,0.5187,-0.63086,-0.0098848,-0.00025345,-0.0048195,-1.8825,-0.20807,-3.9821e-05,-0.003232,-0.00082095,-0.0016156,0.00030909,-0.49034,0.020906,-0.030165,-0.0075574,-0.00084514,-0.0038564,-0.13168,-0.011125,-0.0006883,0.010835,-0.00019785,-0.00019043,-9.9272e-05,-0.10429,0.56532,-0.90525,-0.01315,-0.00045704,-0.0065565,-1.9569,-0.23826,-0.0004345,-0.00041147,-0.00030664,-0.00020514,-0.2897,0.88763,-0.43304,-0.020725,-0.0010162,-0.010104,-1.959,-0.25804,-0.00036976,-0.017876,2.8407e-05,-7.4722e-06,0.17776,0.033196,-0.03245,-0.001671,-0.00083709,-0.34165,-0.012709,-9.223372036854776e+18,9.223372036854776e+18,-0.0079555,-0.00018648,0.041413,0.0042881,-0.0016204,-0.0014985,-8.5804e-05,-0.00074494,-0.013685,-0.0029469,-9.223372036854776e+18,9.223372036854776e+18,-0.017071,-2.1284e-05,4.8292e-05,0.19801,0.03459,-0.018888,-0.002267,-0.0011369,-0.41512,-0.010377,-9.223372036854776e+18,9.223372036854776e+18,-0.019692,-6.4998e-05,0.00015619,0.16523,0.039261,-0.049463,-0.0030855,-0.001546,-0.40634,-0.025086,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
JU775,-5.361e-05,-0.00063098,-0.00011502,-0.00031553,-0.031735,0.20605,-0.20862,-0.0033752,-9.0707e-05,-0.0016628,-0.80224,-0.078382,-2.8579e-05,-0.0044755,-0.00099427,-0.0022364,-0.00015771,-0.24827,0.02726,-0.022291,-0.0058117,-0.0003911,-0.0029267,-0.083417,-0.016922,-0.00036875,0.10424,-0.0012976,-0.00020152,-0.00064854,-0.040516,0.27183,-0.19146,-0.0029284,-8.9041e-05,-0.0014557,-0.77091,-0.074234,-0.0026319,-0.0023097,-0.00037515,-0.001155,-0.096961,0.20991,-0.38873,-0.0053583,-0.00021003,-0.0026806,-0.92589,-0.12053,-7.5136e-05,-9.223372036854776e+18,-0.00024691,0.00021473,9.223372036854776e+18,0.0029462,-0.027304,-0.00059389,-0.00022629,-0.15708,-0.0051751,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.0013176,9.223372036854776e+18,0.0068404,-0.0069192,-0.0027089,-0.00017866,-0.0013534,-0.0187,-0.0049781,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00054695,0.00056414,9.223372036854776e+18,0.011095,-0.0087395,-0.00025856,-0.00011455,-0.17408,-0.0061221,-9.223372036854776e+18,9.223372036854776e+18,-9.223372036854776e+18,-0.00081432,0.00059594,9.223372036854776e+18,0.021154,-0.034087,-0.0018091,-0.00089303,-0.2543,-0.011749,-9.223372036854776e+18,-9.223372036854776e+18,9.223372036854776e+18,9.223372036854776e+18
