strain,blob_box_length_IQR_medianDiff_all,blob_box_length_w_paused_90th_medianDiff_all,blob_box_length_w_paused_IQR_medianDiff_all,d_blob_box_length_10th_medianDiff_all,d_blob_box_length_90th_medianDiff_all,d_length_w_backward_10th_medianDiff_all,d_length_w_backward_50th_medianDiff_all,d_length_w_backward_IQR_medianDiff_all,length_norm_10th_medianDiff_all,length_norm_90th_medianDiff_all,length_norm_IQR_medianDiff_all
ED3052,13.4585,159.1559,82.5165,-10.4644,9.983,5.69,1.5108,-4.5595,0.012009,-0.007012,-0.011768
ED3073,9.9154,475.2352,128.8384,-14.4712,13.3714,4.9113,0.47364,-2.5862,0.0073696,-0.0027229,-0.0065445
ED3077,52.8781,648.7573,208.6839,-11.6975,13.4408,3.6536,0.77819,-2.3435,0.0040665,-0.0020528,-0.0061022
EG4347,51.5917,416.6256,166.5781,-21.7003,21.2623,9.9576,1.1479,-8.6494,0.012874,-0.0092322,-0.013179
EG4349,3.6051,383.8884,144.5848,-16.3578,16.1646,5.3585,1.4083,-3.4175,0.011833,-0.011166,-0.013941
EG4724,20.7483,171.0856,153.7654,-13.5391,14.9014,1.2812,0.51754,-2.3059,0.0047221,0.00029206,-0.0049769
EG4725,17.8825,242.544,107.9544,-7.6934,8.0983,7.2839,1.791,-4.5418,0.0083802,-0.0054968,-0.0081576
EG4946,-21.8135,255.5103,53.1693,-17.4864,16.9941,19.1365,1.5264,-13.0062,0.016393,-0.0062455,-0.011519
GXW1,42.0354,403.2285,162.4497,-6.3992,9.1096,11.7565,2.1565,-7.3696,0.011376,-0.0057966,-0.0091512
JT11398,32.1552,218.8362,81.62,-13.2424,12.8226,13.5743,1.5631,-8.7944,0.0089585,-0.0063257,-0.0094151
JU1088,0.8712,194.1014,154.337,-11.6343,11.0179,5.4273,0.51131,-3.7899,0.011548,-0.0058656,-0.01045
JU1172,2.1883,359.5565,131.7369,-13.09,10.4977,22.366,2.625,-14.7022,0.014432,-0.0061762,-0.011613
JU1200,32.0691,290.8351,149.0553,-11.4505,12.9904,1.986,1.1781,-1.2692,0.0046413,-0.004135,-0.0067402
JU1212,48.2087,38.135,141.1808,-13.3481,14.8021,13.2684,1.9527,-9.6966,0.011847,-0.0058593,-0.012127
JU1213,44.5776,271.0557,137.9632,-10.646,13.0864,13.3254,1.4986,-9.7634,0.011841,-0.0069746,-0.011735
JU1242,18.4793,167.5791,79.1921,-10.6657,10.3962,19.7128,2.1872,-11.3243,0.010941,-0.0018879,-0.0073296
JU1246,27.4649,534.8427,191.7491,-1.5116,3.6299,3.9576,1.4495,-2.8007,0.0044119,-0.0033022,-0.004735
JU1395,21.71,190.7356,86.2683,-13.56,13.5944,6.3964,0.75698,-3.0411,0.0099855,-0.0061508,-0.0097322
JU1400,22.0168,288.9117,91.8497,-1.9792,1.3803,7.0742,1.1811,-4.1178,0.00664,-0.0047004,-0.0074263
