strain,d_dist_from_food_edge_IQR_medianDiff_all,d_dist_from_food_edge_norm_IQR_medianDiff_all,d_dist_from_food_edge_w_backward_10th_medianDiff_all,d_dist_from_food_edge_w_forward_IQR_medianDiff_all,dist_from_food_edge_IQR_medianDiff_all,dist_from_food_edge_norm_IQR_medianDiff_all,dist_from_food_edge_w_backward_90th_medianDiff_all,dist_from_food_edge_w_backward_IQR_medianDiff_all,dist_from_food_edge_w_forward_50th_medianDiff_all,dist_from_food_edge_w_forward_IQR_medianDiff_all,food_region_edge_duration_50th_medianDiff_all,food_region_edge_frequency_medianDiff_all,food_region_inside_duration_50th_medianDiff_all,food_region_inside_frequency_medianDiff_all,food_region_outside_duration_50th_medianDiff_all,orientation_food_edge_in_edge_10th_medianDiff_all,orientation_food_edge_in_edge_IQR_medianDiff_all,orientation_food_edge_w_backward_90th_medianDiff_all,orientation_food_edge_w_backward_IQR_medianDiff_all,orientation_food_edge_w_forward_10th_medianDiff_all,orientation_food_edge_w_forward_90th_medianDiff_all,orientation_food_edge_w_forward_IQR_medianDiff_all,orientation_food_edge_w_paused_10th_medianDiff_all
DL200,-19.326,-0.018483,-11.8818,-11.9115,313.2015,0.25333,1487.1501,444.2223,119.7621,-369.6586,-7.44,0.013728,-32,0.0072182,-9.76,-4.0852,3.107,3.2023,7.0939,-0.31549,2.6834,-2.299,-41.8205
DL226,14.6455,0.014557,-13.4309,6.8737,276.9224,0.31339,1668.3947,690.4243,757.5067,85.0159,-9.64,0.010087,-46.4,0.012334,-8.82,-18.9785,14.9401,9.1688,10.6334,-1.1575,1.6003,4.7343,-31.6882
DL238,47.3086,0.059786,-39.3433,42.6768,-125.1127,-0.18564,195.6923,716.2819,-3.7125,53.3694,-10.03,0.021707,-37.85,0.0066284,-7.78,-12.9089,16.2157,4.2116,13.733,-4.3352,3.6771,9.6159,-10.3476
ECA246,13.9625,0.026275,-28.8071,17.4023,949.1782,1.9362,1321.0833,1863.2012,621.8628,1004.7328,-40.53,0.011833,-96.06,0.0099532,-37.1,-7.1401,10.6927,17.8744,21.2902,-3.5623,5.9908,22.5755,-24.873
ECA248,39.7861,0.044624,-17.3663,40.8694,1084.7778,1.1924,657.798,748.6465,571.4453,1088.8174,-5.88,0.015934,-70.42,0.0064622,-13.48,-23.6096,24.952,4.0437,31.268,-20.4819,10.6712,29.428,-13.3807
ECA250,40.6416,0.02303,-10.449,45.0749,911.2001,1.1463,1337.3917,838.7348,691.1538,1062.3706,-9.56,0.012685,-46.32,0.0069292,-16.32,-9.5734,30.6377,10.1376,14.4746,-5.5281,9.5098,19.0865,26.7864
ECA251,44.12,0.050068,-23.7741,57.0004,1444.4285,1.7072,3108.8007,1227.7761,926.128,1490.112,-8.62,0.012451,-28.36,0.0094001,-7.04,-18.8404,21.6378,26.2254,32.6456,-15.2564,10.9708,36.542,-33.5183
ECA252,1.3757,-0.00023182,1.2386,7.2053,205.9729,0.45017,651.9604,253.3485,405.9655,87.3347,-48.8,0.015461,-28.52,0.010984,-24,-20.8979,23.389,15.4663,19.2941,-2.7402,5.0205,14.0326,-0.4116
ECA259,42.7058,0.045655,-26.1528,33.8523,319.5521,0.44241,767.6843,791.8342,431.8947,322.1323,-6.15,0.017209,-29.08,0.01237,-8.75,-14.6623,5.8396,1.0447,14.5161,-2.1143,1.9844,2.6655,-72.0565
ECA348,44.5162,0.057568,-26.4543,30.8208,72.0342,0.14612,1476.2838,532.8438,314.8239,-191.8921,-7.52,0.0041599,-59.74,0.0056315,-13.4,-25.7644,9.0415,-3.0102,13.7985,-11.0168,-2.5997,11.3006,-23.3936
ECA349,47.155,0.044361,-24.3992,45.6538,1345.3878,1.7197,585.3608,879.7375,519.9665,1417.5806,-5.4,0.010026,-38.32,0.0048515,-6.36,-16.5563,20.5128,13.13,30.0699,-9.1132,8.6522,27.0975,-40.4191
ECA36,-4.6299,0.0077432,-93.7817,-7.8424,71.3395,0.32414,1694.1783,1187.5466,153.0133,126.1514,-8.5,0.026099,-34.76,0.010082,-10.8,-3.0142,4.0855,43.2355,22.2039,-0.39194,1.3345,4.7135,-11.4181
ECA363,-14.3905,-0.0062324,17.2756,-1.9817,104.0432,0.54679,-283.142,-1053.9384,-354.9961,333.5896,-3.98,0.0084806,-38.62,0.0072004,-7.4,-3.2276,21.0242,12.6175,13.1811,-2.1287,5.2987,11.2961,-16.6342
ECA372,39.7079,0.045159,-45.6305,43.2993,1052.6935,1.1034,2156.2432,1713.106,703.4123,1006.6797,-6.64,0.020329,-60.82,0.015357,-10.39,-13.4259,26.3226,6.3894,26.552,-8.089,2.2244,16.9093,-52.9045
ECA396,-40.6331,-0.054331,-3.6904,-21.8749,406.2367,0.35996,2609.1525,657.0726,456.7086,515.2289,-5.36,0.009828,-41.28,0.0099323,-4.1,3.6031,17.4034,7.8387,6.4033,0.71703,1.35,2.619,-37.9967
ED3005,63.9077,0.072061,-39.4489,64.0389,599.5836,0.63225,688.0446,475.0849,471.955,539.5901,-12.2,0.021268,-38.4,0.0041659,-14.02,-18.6422,35.8459,40.0195,50.2869,-7.4657,13.4521,30.7175,-6.9286
ED3011,16.9244,0.033334,-38.2551,18.7463,1062.8002,1.4754,1130.8058,1210.6908,303.3683,976.3534,-25.64,0.019185,-37.76,0.0068562,-15.8,-7.6388,19.2177,13.6535,17.2257,-2.4685,7.5413,16.567,-14.9964
ED3012,32.7075,0.038304,-34.4448,32.293,893.02,0.94909,1236.751,1210.6457,488.6418,843.5674,-25.4,0.015119,-42.74,0.0077903,-2.74,-9.0804,16.1834,16.7087,9.2813,-7.2438,4.532,19.3161,-61.3653
